"ID","File","GPSLongitude","GPSLatitude","Type","City","Place","Quality","Design"
"267","Multi20180505",NA,NA,"Multi","Du","Green",1,"A"
"268","Ora20180507",NA,NA,"Ora","Du","Green",-1,"B"
"269","Pf20180507",NA,NA,"Pf","Du","Pave",-1,"A"
"270","Zit20180508",NA,NA,"Zit","Du","Pave",-2,"B"
"271","Multi20180508",NA,NA,"Multi","Du","House",1,"B"
"272","Kiba20180508",NA,NA,"Kiba","Du","House",2,"A"
"273","Pf20180509",NA,NA,"Pf","Du","Green",-1,"B"
"274","Ora20180509",NA,NA,"Ora","Du","Pave",2,"B"
"275","Kizi20180511",NA,NA,"Kizi","Du","Utilitybox",2,"A"
"276","Pf20180511",NA,NA,"Pf","Du","Street",-2,"B"
"277","Pf20180511",NA,NA,"Pf","Du","Street",-2,"A"
"278","Wald20180515",NA,NA,"Wald","Du","Street",2,"A"
"279","Kizi20180515",NA,NA,"Kizi","Du","House",2,"A"
"280","Ora20180516",NA,NA,"Ora","Du","Dirt",1,"A"
"281","Wasser20180517",NA,NA,"Wasser","Du","Street",-2,"B"
"282","AOZ20180518",NA,NA,"AOZ","Du","Green",2,"A"
"283","Kiba20180519",NA,NA,"Kiba","Du","Green",-2,"B"
"284","Kizi20180521",NA,NA,"Kizi","Du","Pave",2,"B"
"285","Wasser20180521",NA,NA,"Wasser","Du","Pave",2,"B"
"286","Multi20180522",NA,NA,"Multi","Du","House",2,"B"
"287","Multi20180521",NA,NA,"Multi","Du","House",1,"A"
"288","Ora20180525",NA,NA,"Ora","Du","Green",-1,"B"
"289","Pf20180526",NA,NA,"Pf","Du","Street",-1,"A"
"290","Kizi20180527",NA,NA,"Kizi","Du","Street",-1,"B"
"291","Pf20180528",NA,NA,"Pf","Du","Pave",-1,"A"
"292","Kiba20180528",NA,NA,"Kiba","Du","Pave",-1,"B"
"293","Pf20180529",NA,NA,"Pf","Du","Green",-2,"B"
"294","Kiba20180520",NA,NA,"Kiba","Du","Green",2,"A"
"295","Ora20180520",NA,NA,"Ora","Du","Green",2,"B"
"296","Granat20180521",NA,NA,"Granat","Du","Pave",-1,"B"
"297","Multi20180601",NA,NA,"Multi","Du","House",2,"A"
"298","Pf20180602",NA,NA,"Pf","Du","House",1,"B"
"299","Multi20180602",NA,NA,"Multi","Du","Green",2,"B"
"300","Granat20180601",NA,NA,"Granat","Du","House",2,"B"
"301","Kiba20180601",NA,NA,"Kiba","Du","Street",-2,"B"
"302","Wald20180605",NA,NA,"Wald","Du","House",1,"B"
"303","Ora20180605",NA,NA,"Ora","Du","Street",-1,"A"
"304","Pf20180606",NA,NA,"Pf","Du","Green",2,"B"
"305","Him20180606",NA,NA,"Him","Du","Green",-1,"B"
"306","Pf20180606",NA,NA,"Pf","Du","Street",2,"A"
"307","Multi20180607",NA,NA,"Multi","Du","Green",-1,"B"
"308","Multi20180607",NA,NA,"Multi","Du","Green",-1,"B"
"309","Pf20180608",NA,NA,"Pf","Du","Street",-2,"B"
"310","Kizi20180608",NA,NA,"Kizi","Du","Green",-1,"B"
